2026-07-16 14:28:38.322 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcSessionImpl createCspConnection[1784233718321~]) Creating a new connection with 216.221.209.61:7023 hostConfigKey as connection identifier. 
2026-07-16 14:28:38.322 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.session.ConnectionConfig createHostConfigIfNotAvailable[1784233718321~]) ConnectionConfigImpl::getHostConfig(ENTRY): HostConfig object found mapped to hostInfoString (216.221.209.61:7023) 
2026-07-16 14:28:38.322 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcSessionImpl createCspConnectionInternal[1784233718321~]) Creating new connection with key=216.221.209.61:7023 mapped to cspEventReactor=CspEventReactor-Agent-0, connectionRetryLimit=5, connectionTimeoutInMillis=5000, readTimeout=5000 
2026-07-16 14:28:38.323 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.FieldDictionary <init>[1784233718321~]) Setting up FieldDictionary and bootstraping CDD, fdCounter val: 4 
2026-07-16 14:28:38.323 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.session.ConnectionConfig getLocalIp[1784233718321~]) No Local NAT address found for 216.221.209.61 
2026-07-16 14:28:38.323 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.session.ConnectionConfig getCsplIp[1784233718321~]) No CSP NAT address found for 216.221.209.61 
2026-07-16 14:28:38.323 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcConnection <init>[1784233718321~]) Created new IDC connection with id: 216.221.209.61:7023 mapped to cspAddress: 216.221.209.61:7023 
2026-07-16 14:28:38.323 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.CircularByteBuffer <init>[1784233718321~]) 216.221.209.61:7023 - Created CircularByteBuffer: slabSize=1048576 bytes, maxMessages=10485, total memory=1132456 bytes 
2026-07-16 14:28:38.323 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.CircularQueue <init>[1784233718321~]) 216.221.209.61:7023 - Creating a queue with capacity for 10485 messages and max size 1048576 
2026-07-16 14:28:38.323 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcConnectionCompress <init>[1784233718321~]) Created new IDC connection 216.221.209.61:7023 with compression. 
2026-07-16 14:28:38.323 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcConnection loadCdd[1784233718321~]) 216.221.209.61:7023: Mapping CddMetaTokenMap to TmpTokenMap from IdcSession. 
2026-07-16 14:28:38.323 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.session.ConnectionConfig getHostConfig[1784233718321~]) ConnectionConfigImpl::getHostConfig(ENTRY): No HostConfig object mapped to hostInfoString (216.221.209.61:7024) 
